name,geoid,county,state,cases,c_avg,c_avg_100
"Pierce, Wisconsin",55093,Pierce,Wisconsin,0,12.86,30.07
"New York City, New York",36998,New York City,New York,721,2502.56,30.02
"Camden, New Jersey",34007,Camden,New Jersey,138,151.43,29.9
"Richland, Wisconsin",55103,Richland,Wisconsin,0,5.14,29.81
"Waukesha, Wisconsin",55133,Waukesha,Wisconsin,0,120.43,29.79
"Delaware, New York",36025,Delaware,New York,13,13.14,29.78
"Wood, Wisconsin",55141,Wood,Wisconsin,0,21.71,29.75
"Carver, Minnesota",27019,Carver,Minnesota,0,31.14,29.63
"Buffalo, Wisconsin",55011,Buffalo,Wisconsin,0,3.86,29.6
"Orleans, Vermont",50019,Orleans,Vermont,0,8.0,29.59
"Boulder, Colorado",08013,Boulder,Colorado,0,96.43,29.56
"Scott, Virginia",51169,Scott,Virginia,0,6.38,29.56
"Marquette, Michigan",26103,Marquette,Michigan,0,19.57,29.34
"Steele, Minnesota",27147,Steele,Minnesota,0,10.71,29.23
"Houston, Minnesota",27055,Houston,Minnesota,0,5.43,29.19
"Fond du Lac, Wisconsin",55039,Fond du Lac,Wisconsin,0,30.14,29.15
"Polk, Wisconsin",55095,Polk,Wisconsin,0,12.71,29.04
"Rock, Wisconsin",55105,Rock,Wisconsin,0,47.43,29.03
"Montour, Pennsylvania",42093,Montour,Pennsylvania,0,5.29,28.99
"Ohio, West Virginia",54069,Ohio,West Virginia,0,12.0,28.98
"Seneca, New York",36099,Seneca,New York,8,9.86,28.98
"Dakota, Minnesota",27037,Dakota,Minnesota,0,123.71,28.84
"Watauga, North Carolina",37189,Watauga,North Carolina,0,16.14,28.74
"Merrimack, New Hampshire",33013,Merrimack,New Hampshire,0,43.43,28.69
"Anchorage, Alaska",02020,Anchorage,Alaska,0,82.29,28.57
"Nome Census Area, Alaska",02180,Nome Census Area,Alaska,0,2.86,28.56
"Montgomery, Maryland",24031,Montgomery,Maryland,0,299.86,28.54
"Ingham, Michigan",26065,Ingham,Michigan,0,83.43,28.53
"Sonoma, California",06097,Sonoma,California,0,141.0,28.52
"Guilford, North Carolina",37081,Guilford,North Carolina,0,153.14,28.51
"Bayfield, Wisconsin",55007,Bayfield,Wisconsin,0,4.29,28.5
"Jefferson, Washington",53031,Jefferson,Washington,0,9.14,28.38
"Scott, Minnesota",27139,Scott,Minnesota,0,42.29,28.38
"Andrew, Missouri",29003,Andrew,Missouri,0,5.0,28.23
"Bristol, Massachusetts",25005,Bristol,Massachusetts,0,158.71,28.08
"Koochiching, Minnesota",27071,Koochiching,Minnesota,0,3.43,28.04
"Monroe, Wisconsin",55081,Monroe,Wisconsin,0,12.86,27.8
"Cheboygan, Michigan",26031,Cheboygan,Michigan,0,7.0,27.69
"Chesterfield, Virginia",51041,Chesterfield,Virginia,0,97.29,27.58
"New Castle, Delaware",10003,New Castle,Delaware,0,154.0,27.56
